gid,entity_nam,reference1,gmrotation,lat,long,province
20699011,Flinkfontein,3023DC_15,0,-30.88931,23.70337,Northern Cape
20699012,Caledon,3023DC_19,0,-30.92661,23.66695,Northern Cape
20699013,Fonteintjie,3023DC_17,0,-30.93323,23.59413,Northern Cape
20699014,Gemsbokdam,3023DC_21,0,-30.95899,23.52475,Northern Cape
20699015,Stuurmanskuil,3024CC_8,0,-30.82237,24.14671,Northern Cape
20699016,Vloekpoort,3023DD_1,0,-30.79355,23.7503,Northern Cape
20698191,Haasrvier,3017BB_18,0,-30.15511,17.89174,Northern Cape
20698217,Koets,3017BB_24,0,-30.20398,17.92975,Northern Cape
20698218,Kwaggasfontein,3017BC_2,0,-30.26166,17.55498,Northern Cape
20698219,Vleitjies,3017BC_3,0,-30.2572,17.60867,Northern Cape
20698220,Kliphoek,3017BC_3,0,-30.25065,17.64614,Northern Cape
20698221,Kwaggasfontein,3017BC_2,0,-30.26166,17.55498,Northern Cape
20698222,Syfer,3017BC_4,0,-30.28929,17.67675,Northern Cape
20698223,Vleie,3017BC_5,0,-30.29452,17.70534,Northern Cape
20698224,Booigal,3017BC_15,0,-30.38917,17.73839,Northern Cape
20698225,Aigab,3017BC_14,0,-30.35161,17.68538,Northern Cape
20698226,Mattheusgat,2919BA_19,0,-29.15739,19.65082,Northern Cape
20698227,Naries,3017BC_10,0,-30.30238,17.72259,Northern Cape
20698228,Vaalfontein,3017BC_14,0,-30.38592,17.66091,Northern Cape
20698229,Jakkalsfontein,3017BC_15,0,-30.35693,17.73486,Northern Cape
20698230,Windheuwel,3017BC_14,0,-30.36156,17.68895,Northern Cape
20698231,Lruiskraal,3017BC_8,0,-30.34324,17.64187,Northern Cape
20698232,Radyn,3017AD_20,0,-30.42512,17.49536,Northern Cape
20698233,Kagorrogas,3017BC_20,0,-30.41816,17.73197,Northern Cape
20698234,Klein Pella,2919AA_1,0,-29.00576,19.01279,Northern Cape
20698235,Springputs,2919AA_6,0,-29.06643,19.00881,Northern Cape
20698236,Ouplaas,3017BC_18,0,-30.42156,17.6014,Northern Cape
20698237,Aroams,2919AA_11,0,-29.14067,19.02304,Northern Cape
20698238,Witsand,2919AA_18,0,-29.15003,19.10474,Northern Cape
20698239,Koupsleegte,2919AA_19,0,-29.17821,19.19937,Northern Cape
20698240,Noubestaan,2919AB_10,0,-29.09911,19.46159,Northern Cape
20698617,Wildemerrie,3017DB_22,0,-30.73386,17.81542,Northern Cape
20698618,Klipkloof,3017DB_21,0,-30.71205,17.76396,Northern Cape
20698619,Mesklip,2917DD_8,0,-29.82698,17.85416,Northern Cape
20698620,Klipputs,2917DD_8,0,-29.84672,17.88387,Northern Cape
20698621,Komremap,2917DD_6,0,-29.80933,17.76922,Northern Cape
20698622,Oubees,2917DD_19,0,-29.92301,17.93054,Northern Cape
20698623,Vaalwater,2917DD_17,0,-29.92768,17.84824,Northern Cape
20698624,Droekloof,2917DD_18,0,-29.94167,17.86706,Northern Cape
20698625,Paardekraal,2917DD_20,0,-29.93303,17.99274,Northern Cape
20698626,Die Draai,2917DD_20,0,-29.94993,17.96105,Northern Cape
20698627,Ybeep,2917DD_25,0,-29.98037,17.98364,Northern Cape
20698628,Die Drif,2917DD_23,0,-29.99492,17.85765,Northern Cape
20698629,Brakkies,2917DD_22,0,-29.97504,17.80481,Northern Cape
20698630,Arregas,2917DD_21,0,-29.99302,17.7742,Northern Cape
20698631,Drodap,2917DD_15,0,-29.86236,17.96395,Northern Cape
20698632,Noukloof,2917DD_12,0,-29.89052,17.81836,Northern Cape
20698633,Deurdrift,2917DD_4,0,-29.75266,17.93494,Northern Cape
20698634,Swart Aroams,2918BB_1,0,-29.01701,18.76066,Northern Cape
20698635,Wortel,2918BB_2,0,-29.03467,18.84256,Northern Cape
20698636,Wolftoon,2918AA_3,0,-29.04151,18.14185,Northern Cape
20698637,Wolftoon 2,2918AA_4,0,-29.04671,18.19101,Northern Cape
20698638,Gaselskapbasnk,2918AA_18,0,-29.16287,18.11952,Northern Cape
20698639,Koisabis,2918AB_1,0,-29.04316,18.29934,Northern Cape
20698640,Kabib,2918AB_6,0,-29.09418,18.25436,Northern Cape
20698641,Amam,2918AB_14,0,-29.10071,18.44891,Northern Cape
20699017,Smouspoort,3023DD_2,0,-30.77479,23.81828,Northern Cape
20699018,Damfontein,3023DD_9,0,-30.8334,23.93867,Northern Cape
20699019,Jakhalskuilen,3023DD_11,0,-30.85249,23.75585,Northern Cape
20699020,Wolwekraal,3023DD_17,0,-30.90158,23.8466,Northern Cape
20699021,Mynfontein,3023DD_19,0,-30.9198,23.92447,Northern Cape
20699022,Gordonsville,3023DD_21,0,-30.95591,23.79857,Northern Cape
20699023,Modderfontein,3023DD_21,0,-30.95223,23.78887,Northern Cape
20699024,Voëlfontein,3023DD_21,0,-30.96036,23.79114,Northern Cape
20699025,De Put,3024CC_1,0,-30.75346,24.0052,Northern Cape
20699026,Hartebeeshoek,3024CC_3,0,-30.76634,24.10475,Northern Cape
20699027,Erasmuskraal,3023DD_23,0,-30.96995,23.86879,Northern Cape
20699028,Rietfontein,3024CC_4,0,-30.75221,24.18157,Northern Cape
20699029,Nuwejaarsfontein,3024CC_11,0,-30.86954,24.00744,Northern Cape
20699030,Ezelsfontein,3024CC_11,0,-30.88759,24.04166,Northern Cape
20699031,Blouboskuil,3024CC_15,0,-30.87287,24.22998,Northern Cape
20699032,Nuwefontein,3024CC_19,0,-30.93815,24.17603,Northern Cape
20699033,Fonteintjie,3024CC_20,0,-30.93719,24.2179,Northern Cape
20699034,Stilfontein,3024CC_17,0,-30.94596,24.06202,Northern Cape
20699035,Jagpoort,3024CC_21,0,-30.98357,24.01537,Northern Cape
20699036,Hartebeesfontein,3024CC_22,0,-30.97481,24.07926,Northern Cape
20699037,Ezelsfontein,3024CC_16,0,-30.93453,24.03858,Northern Cape
20699038,Kwesfontein,3024CC_18,0,-30.9363,24.11985,Northern Cape
20699039,Osfontein,3024CC_25,0,-30.98545,24.24594,Northern Cape
20699040,Weltevreden,3024CD_1,0,-30.79128,24.29752,Northern Cape
20699041,Leeuwfontein,3024CD_7,0,-30.80445,24.31856,Northern Cape
20698242,Melkbosheuwel,3017BC_18,0,-30.44045,17.61448,Northern Cape
20698243,Radyn,3017BC_18,0,-30.44492,17.64418,Northern Cape
20698244,Kameelboom,3017BC_24,0,-30.45711,17.69378,Northern Cape
20698245,Vorentoe,3017BC_21,0,-30.46545,17.53514,Northern Cape
20698246,Varsfontein,2919AB_7,0,-29.07909,19.30945,Northern Cape
20698247,Broomrivier,2919AB_7,0,-29.07818,19.3078,Northern Cape
20698248,Eytees,2919AB_7,0,-29.07685,19.3076,Northern Cape
20698249,Eytees,2919AB_11,0,-29.13228,19.28551,Northern Cape
20698250,Klein Pofadder,2919AB_14,0,-29.12082,19.40445,Northern Cape
20698251,Lekdam,2919AB_21,0,-29.22729,19.29684,Northern Cape
20698252,Nousees,2919AB_25,0,-29.24645,19.4666,Northern Cape
20698253,Kameelboom,3017BC_25,0,-30.4965,17.70126,Northern Cape
20698254,Gams,2919AC_1,0,-29.25324,19.01803,Northern Cape
20698255,Achab,2919AC_2,0,-29.26379,19.06766,Northern Cape
